speaker,firm,role,text,bank,quarter,source,clean_text,topic,finbert_sentiment,finbert_score,finbert_net,ldsa_sentiment,ldsa_net,refined_topic
KIAN ABOUHOSSEIN,JP MORGAN,analyst,"Two questions: the first one is related to tariffs. You gave
guidance of 5% impact on revenues and I just wanted to see how we should think about that
going forward, as you don’t see anything in the numbers today.
And the second question is related to stage 1 and stage 2 movements. Clearly, your stage 2
has deteriorated. You discuss PDs, which have been adjusted, and I’m trying to understand a
little bit more detail around your movements, in particular in the corporate and commercial
bank, in terms of potential realised losses, but also model adjustments versus environment.",hsbc,2025-interim,2025-interim-investors-analysts-transcript.pdf,two questions first one related tariffs gave guidance impact revenues wanted see think going forward see anything numbers today second question related stage stage movements clearly stage deteriorated discuss pds adjusted trying understand little bit detail around movements particular corporate commercial bank terms potential realised losses also model adjustments versus environment,1,negative,0.5464393496513367,-0.5464393496513367,negative,-0.010309278350515464,1
KUNPENG MA,CHINA SECURITIES,analyst,"I have two questions on impairments. The first one is
related to the BoCom impairment, especially that one with the VIU test. It seems that you
conduct a VIU test every quarter, but you don’t charge impairments every quarter. It seems
that the impairment charges always come together with other bad news. When you first charge
the VIU impairment in the fourth quarter of 2023, you got French disposal loss, you got a slight
miss on the cost control, so you charged the first time and, in this quarter, you got the BoCom
dilution impairment.
I also cover Chinese banks. Their fundamentals are weak, but there were no sudden drops in
fundamentals in the second quarter. It seems that VIU impairment charges always come
together with other bad news. Can you share with us a little bit more colour on the factors
triggering that kind of VIU impairment charge?
The second question is: can you share with us some views a little bit longer term on the Hong
Kong CRE outlook? You increased the credit cost assumption going forward due to the Hong
Kong CRE pressure. Is there any chance that the Hong Kong CRE pressure will further
increase your ECL assumptions going forward? I have those two questions. Thank you.",hsbc,2025-interim,2025-interim-investors-analysts-transcript.pdf,two questions impairments first one related bocom impairment especially one viu test seems conduct viu test every quarter charge impairments every quarter seems impairment charges always come together bad news first charge viu impairment fourth quarter got french disposal loss got slight miss cost control charged first time quarter got bocom dilution impairment also cover chinese banks fundamentals weak sudden drops fundamentals second quarter seems viu impairment charges always come together bad news share us little bit colour factors triggering kind viu impairment charge second question share us views little bit longer term hong kong cre outlook increased credit cost assumption going forward due hong kong cre pressure chance hong kong cre pressure increase ecl assumptions going forward two questions thank,1,negative,0.45964139699935913,-0.45964139699935913,negative,-0.07109004739336493,0
AMAN RAKKAR,BARCLAYS,analyst,"I had a couple of questions, please – one on net interest income
and one on costs. It’s a two-part question on NII. At face value, your banking NII guidance is
circa $42 billion for the year. Given that you’re annualising at $43 billion at H1, that does actually
imply a pretty marked step off in net interest income in H2. I just want to query whether you
really mean that or not?
There’s obviously lots of moving parts at play here, but it implies a run rate for net interest
income in H2, which I guess people will carry over into 2026. Is there an element of
conservatism in that $42 billion? Is there just too much uncertainty around HIBOR? The second
part of that first question, if I may, is: can you help me understand the levers that you’re pulling
and are able to continue pulling from here to offset this HIBOR decline? I’m specifically thinking
about deposit passthroughs.
The second question is around costs, please. I’m just interested in how hard you are pushing
the organisation right now to realise the cost savings because, outside in, I think you’re leading
a bit of a quiet revolution across the firm, to the extent that you can, and I’m hopeful that you
can realise additional cost savings over time.
Georges, I’m really interested in your reflections. Are you running at maximum capacity now,
in terms of what you’re trying to do? And just a modelling point. To me, next year – I think it
should be flattish costs next year. I don’t think consensus has got that, but a 3.5% inflation rate
on costs and the $1.1 billion of gross saves tells me it should be flat next year. If you can
comment on that as well, that would be great. Thank you so much.",hsbc,2025-interim,2025-interim-investors-analysts-transcript.pdf,couple questions please one net interest income one costs question nii face value banking nii guidance circa billion year given annualising billion h actually imply pretty marked step net interest income want query whether really mean obviously lots moving parts play implies run rate net interest income h guess people carry element conservatism billion much uncertainty around hibor second part first question may help understand levers pulling able continue pulling offset hibor decline specifically thinking deposit passthroughs second question around costs please interested hard pushing organisation right realise cost savings outside think leading bit quiet revolution across firm extent hopeful realise additional cost savings time georges really interested reflections running maximum capacity terms trying modelling point next year think flattish costs next year think consensus got inflation rate costs billion gross saves tells flat next year comment well would great thank much,1,neutral,0.7510626912117004,0.0,neutral,-0.0064516129032258064,1
KENDRA YAN,CICC,analyst,"I have two questions. The first is about the non-interest income. I’ve
seen that HSBC delivered quite strong non-interest income in both quarter one and quarter
two, primarily driven by the wealth management FX and the capital markets-related business.
I wonder how you see the sustainability of this momentum going forward.
The second question is about the stablecoin, because there are several countries and areas
that have introduced stablecoin-related regulations. How does HSBC view the cryptocurrency
area? Do you have some reservations in this area, or will you maintain a cautious approach in
this area?",hsbc,2025-interim,2025-interim-investors-analysts-transcript.pdf,two questions first income seen hsbc delivered quite strong income quarter one quarter two primarily driven wealth management fx capital business wonder see sustainability momentum going forward second question stablecoin several countries areas introduced regulations hsbc view cryptocurrency area reservations area maintain cautious approach area,2,neutral,0.8659449815750122,0.0,positive,0.02,0
JOSEPH DICKERSON,JEFFERIES,analyst,"Just a simple follow-up on the Hong Kong CRE, which I
think you’ve done a pretty good job of addressing. I guess what drove the timing of this charge,
because some of the dynamics that you point out in the interim report you could have easily
argued were there in Q4, so I guess what drove the timing of today versus Q4? And then, is
there any way to gauge what you think the appropriate coverage level is because, clearly, I
think you also had about 20 bps of credit risk migration in last year’s CET1 from this. I’m just
trying to walk through the moving parts to dimension any further charges. Thanks.",hsbc,2025-interim,2025-interim-investors-analysts-transcript.pdf,simple hong kong cre think done pretty good job addressing guess drove timing charge dynamics point interim report could easily argued q guess drove timing today versus q way gauge think appropriate coverage level clearly think also bps credit risk migration last year cet trying walk moving parts dimension charges thanks,1,neutral,0.835599958896637,0.0,negative,-0.02586206896551724,0
KATHERINE LEI,JP MORGAN,analyst,"I have three questions. The first is that I would want to ask
about what are the outstanding parts of the threshold deduction related to the BoCom, if there
is further impairment on BoCom? If there’s further impairment on BoCom, what would the
amount be in order for that future impairment to have an impact on your CET1 ratios and share
buyback and EPS, and so forth?
Number two is related to the $0.6 billion of restructuring-related costs. What portion of it is in
the material notable items, i.e. what I mean is what portion of the $0.6 billion has no impact on
DPS, and what portion of it may have an impact on DPS?
And then, the last question is for Georges - on tokenised deposits. So may I know, for this
tokenised deposit, is it only for HSBC clients or also available for HSBC’s clients’ clients? Is
that on public chains, i.e. can clients basically use this tokenised deposit to transact crypto
assets? So say, for example, if they want to trade Bitcoin or other crypto assets, can they use
this tokenised deposit to facilitate that? Thank you.",hsbc,2025-interim,2025-interim-investors-analysts-transcript.pdf,three questions first would want ask outstanding parts threshold deduction related bocom impairment bocom impairment bocom would amount order future impairment impact cet ratios share buyback eps forth number two related billion costs portion material notable items mean portion billion impact dps portion may impact dps last question georges tokenised deposits may know tokenised deposit hsbc clients also available hsbc clients clients public chains clients basically use tokenised deposit transact crypto assets say example want trade bitcoin crypto assets use tokenised deposit facilitate thank,1,neutral,0.9281997680664062,0.0,negative,-0.015625,0
AMIT GOEL,MEDIOBANCA,analyst,"Hi. Thank you. Two questions from me. One was on the cost
growth. It seemed like the cost growth was a bit higher this quarter, even ex the VP, than the
overall target for the year, so in terms of why you think the costs will be a bit more contained,
or at least the cost growth will be a bit more contained, and the drivers there?
And then the second question is on the Middle East scenario. Appreciate the extra slide. Just
curious on the stress scenarios - what would we have to see to be seeing some of that scenario
play through and to have further impact on your ECL guidance? Thank you.",hsbc,2026-q1,2026-1q-investors-analysts-transcript.pdf,hi thank two questions one cost growth seemed like cost growth bit higher quarter even ex vp overall target year terms think costs bit contained least cost growth bit contained drivers second question middle east scenario appreciate extra slide curious stress scenarios would see seeing scenario play impact ecl guidance thank,1,neutral,0.8632065057754517,0.0,positive,0.017543859649122806,1
ANDREW COOMBS,CITI,analyst,"Hi. A couple of follow-ups from me, please. Firstly, coming back on
the private credit exposures on slide 16, I think the exposure on which you booked the charge
today falls within the $3 billion “Securitisation financing” bucket that you list on that slide. Can
you just give us an idea, please, of how much of the exposure that you’ve taken a charge on
today accounts for of that $3 billion total, please?
Secondly, coming back to wealth, it’s difficult to quibble on 15% year-on-year growth, but that
revenue growth does look slightly weaker than your peers. Can you give us an idea of where
you think the differences are? Is it business mix, which means that you have lower transaction
income benefit year-on-year? Anything you can comment on relative performance? Thank you.",hsbc,2026-q1,2026-1q-investors-analysts-transcript.pdf,hi couple please firstly coming back private credit exposures slide think exposure booked charge today falls within billion securitisation financing bucket list slide give us idea please much exposure taken charge today accounts billion total please secondly coming back wealth difficult quibble growth revenue growth look slightly weaker peers give us idea think differences business mix means lower transaction income benefit anything comment relative performance thank,1,neutral,0.6710841059684753,0.0,neutral,-0.007352941176470588,-1
KATHERINE LEI,JP MORGAN,analyst,"Hi, Pam. I would like to ask about the fraud case. Can we
have more colour about the fraud case - what is your total exposure? The key concern is
whether this $0.4 billion is a one-off, or are we going to see more of a step-up in impairment
charges because of these cases?
The number two question is – I look at the [ECL scenario] risk weighting. It seems like downside
scenario, now we assign 45%, versus before the war. Say, for 2025, it’s roughly 15%. Can we
get more colour – under what situations do you think we will continue to see a continued rise
in this 45% of downside scenarios? Thank you.",hsbc,2026-q1,2026-1q-investors-analysts-transcript.pdf,hi pam would like ask fraud case colour fraud case total exposure key concern whether billion going see impairment charges cases number two question look ecl scenario risk weighting seems like downside scenario assign versus war say roughly get colour situations think continue see continued rise downside scenarios thank,1,neutral,0.7846392393112183,0.0,negative,-0.03636363636363636,0
KUNPENG MA,CHINA SECURITIES,analyst,"Morning, Pam. I’ve got two questions for you and the
first one is about Hang Seng. I’m glad to hear the momentum in deposit and wealth
management in the first quarter and the pick up in the momentum from April. What proportion
of such momentum could be attributed to the synergies out of the Hang Seng deal? Also, some
colour on the future synergy effects of the Hang Seng deal would be helpful for us.
The second question is on HSBC’s global footprint. This is out of the proposed disposal of the
Indonesian retail business. The Indonesian market is quite important. It’s not some marginal or
less important market. I want to know HSBC’s views on your global franchise. Which markets
are important to you or which markets and which businesses are less important? Thank you.",hsbc,2026-q1,2026-1q-investors-analysts-transcript.pdf,morning pam got two questions first one hang seng glad hear momentum deposit wealth management first quarter pick momentum april proportion momentum could attributed synergies hang seng deal also colour future synergy effects hang seng deal would helpful us second question hsbc global footprint proposed disposal indonesian retail business indonesian market quite important marginal less important market want know hsbc views global franchise markets important markets businesses less important thank,2,neutral,0.8934231996536255,0.0,positive,0.02127659574468085,0
ALASTAIR WARR,AUTONOMOUS,analyst,"Good morning, Pam. Thank you for taking our questions.
Just a couple of follow-ups on the credit costs and on the insurance that we touched on just a
moment ago. If you’ve got 52 basis points booked in for the first quarter on credit costs, it looks
like, therefore, to get to your 45bps over the rest of the year, that you’d be looking at a little bit
above 40bps for the remaining quarters of the year. You were at 40bps for the full year before.
Is that just implicitly building in maybe a little bit more drag from the Middle East or is there
anything else going on anywhere else for us to be thinking about?
The second point – you touched on the CSM there and how it can make a difference to how
you’re booking your speed of growth of income at the wealth line. HSBC has been really strong
on some big-ticket, quite short payment period products that some of your big-name peers in
Hong Kong are not necessary so keen on. Can I just confirm – you talked about a tenth there
– that your release rate in years is about 10 years and that this shorter payment period thing
doesn’t turn up in a shorter release rate as well? Thank you.",hsbc,2026-q1,2026-1q-investors-analysts-transcript.pdf,good morning pam thank taking questions couple credit costs insurance touched moment ago got basis points booked first quarter credit costs looks like therefore get bps rest year looking little bit bps remaining quarters year bps full year implicitly building maybe little bit drag middle east anything else going anywhere else us thinking second point touched csm make difference booking speed growth income wealth line hsbc really strong quite short payment period products peers hong kong necessary keen confirm talked tenth release rate years years shorter payment period thing turn shorter release rate well thank,1,neutral,0.8567747473716736,0.0,neutral,0.0091324200913242,-1
KIAN ABOUHOSSEIN,JP MORGAN,analyst,"I just wanted to come back to cost. I know you don’t give
cost guidance in the outer years, but what I would like to understand is just the moving parts,
ex disposals, that we should think of, in terms of drivers from wage inflation, technology
inflation, to offset what you’re doing on the other side, and investments. If you could outline
that to us, so we can put that into our own context of what we think is a growth rate.
The second question, on ODI, I hear you that it hasn’t had an impact, and thanks for the detailed
numbers, but what I really would like to understand is does it slow down the process of client
acquisition in any way from onshore China? It wasn’t clear to me if you discussed July in
particular, if there’s been any impact, that would be helpful.
Lastly, thanks for the deposit breakdown. It was very, very helpful in terms of new disclosure.",hsbc,2026-interim,2026-interim-equity-analysts-meeting-transcript.pdf,wanted come back cost know give cost guidance outer years would like understand moving parts ex disposals think terms drivers wage inflation technology inflation offset side investments could outline us put context think growth rate second question odi hear impact thanks detailed numbers really would like understand slow process client acquisition way onshore china clear discussed july particular impact would helpful lastly thanks deposit breakdown helpful terms new disclosure,1,neutral,0.8742113709449768,0.0,neutral,0.005988023952095809,1
ALISTAIR WARR,AUTONOMOUS,analyst,"Two questions, if I may. First is on wealth. Could you give
us a little bit of a sense of how much of the wealth is transactional churn versus more annuity
income? Has that changed at all in the last year or two? It was something you used to call out,
particularly in Private Banking, I think. Essentially, do you have any concern in there that very
buoyant equity markets are setting a bit of a high base?
Then my second question was on the UK business. You called out the $10 billion high growth
in commercial, another $10 billion in mortgage. The UK division’s gross loans are only up by
about $10 billion, so could you give us a little bit of colour of what else you might be winding
down a bit?",hsbc,2026-interim,2026-interim-equity-analysts-meeting-transcript.pdf,two questions may first wealth could give us little bit sense much wealth transactional churn versus annuity income changed last year two something used call particularly private banking think essentially concern buoyant equity markets setting bit high base second question uk business called billion high growth commercial another billion mortgage uk division gross loans billion could give us little bit colour else might winding bit,2,neutral,0.8673948645591736,0.0,neutral,0.0,0
ANDREW COOMBS,CITIGROUP,analyst,"A couple, please. The first one, on the year one interest
rate sensitivity, there’s been quite a decline in the Hong Kong dollar sensitivity to an upwards
100-basis-point shift. It was $310 million, it’s now $25 million, so if you could just comment on
the cause of that, and you now have a non-symmetrical payoff both on the dollar and on the
Hong Kong dollar, between 100 bps up versus 100 bps down, so again, any commentary?
Then the second question on Turkey and Egypt. We can get the subsidiary accounts, but you’re
only selling the retail and SME parts of the business, so anything you can do to help us drill
down a bit further into the revenue contribution within Turkey and Egypt that you’re divesting?",hsbc,2026-interim,2026-interim-equity-analysts-meeting-transcript.pdf,couple please first one year one interest rate sensitivity quite decline hong kong dollar sensitivity upwards shift million million could comment cause payoff dollar hong kong dollar bps versus bps commentary second question turkey egypt get subsidiary accounts selling retail sme parts business anything help us drill bit revenue contribution within turkey egypt divesting,1,neutral,0.6560768485069275,0.0,neutral,-0.007751937984496124,-1
KATHERINE LEI,JP MORGAN,analyst,"Do we have a bit more colour on Wealth, on the $25 billion
net new money in this quarter or the $39 billion last quarter? What is the structure of it? What
percentage is from Private Banking, what percentage is from Premium or Premium Elite, and
what is from mass market, so we can roughly get a sense of the different client segments
contributing to Wealth income?
The other one is Hong Kong - loan and deposit growth for HSBC is slower than reported by the
industry. You explained a bit on the loan side. How about on deposit side? What is the driver
for losing market share? And what are we going to do about it?",hsbc,2026-interim,2026-interim-equity-analysts-meeting-transcript.pdf,bit colour wealth billion net new money quarter billion last quarter structure percentage private banking percentage premium premium elite mass market roughly get sense different client segments contributing wealth income one hong kong loan deposit growth hsbc slower reported industry explained bit loan side deposit side driver losing market share going,2,neutral,0.7380561828613281,0.0,neutral,0.008771929824561403,0
EMMA XU,BANK OF AMERICA,analyst,"I have two questions. The first is about tax. I previously had
the impression that there is room for you to reduce tax in the coming years, and some of your
peers have indicated that there is a structural decline of their tax in the coming years, although
from a higher base. But in the first half, your effective tax is slightly higher than the first half of
last year. Is this still a reasonable assumption that your tax could decline in the coming years?
The second question is that you mentioned that for this year you may consider increasing
variable pay, given the very strong business momentum. How much is variable pay within your
total operating costs?",hsbc,2026-interim,2026-interim-equity-analysts-meeting-transcript.pdf,two questions first tax previously impression room reduce tax coming years peers indicated structural decline tax coming years although higher base first half effective tax slightly higher first half last year still reasonable assumption tax could decline coming years second question mentioned year may consider increasing variable pay given strong business momentum much variable pay within total operating costs,1,negative,0.544808566570282,-0.544808566570282,neutral,0.0,-1
ALASTAIR WARR,AUTONOMOUS,analyst,"Two questions on costs, if I may. The first is quite simple,
if you could just give a little bit more colour on where the additional simplification saves are
coming from and what’s changed there. A second question, just looking a bit further out, really.
You’ve talked about the revenue in the medium term moving up towards 5% growth. We’ve got
a little bit more nuance today on variable costs. There are jaws built into consensus two/three
years out. I just wonder if you could talk about the potential trend for reported cost growth, just
bearing in mind that moving up to 5% on the revenue side in the next couple of years.",hsbc,2026-interim,2026-interim-investors-analysts-transcript.pdf,two questions costs may first quite simple could give little bit colour additional simplification saves coming changed second question looking bit really talked revenue medium term moving towards growth got little bit nuance today variable costs jaws built consensus years wonder could talk potential trend reported cost growth bearing mind moving revenue side next couple years,1,neutral,0.8272072672843933,0.0,positive,0.017391304347826087,1
ANDREW COOMBS,CITI,analyst,"Coming back to the costs, there are a lot of moving parts. You are
talking about accelerating the investment spend next year. At the same time, you’ve slightly
increased the simplification saves. And then on slide 29 you’ve got a whole host of divestments
that are going to drop away on both the revenue line and the cost line. It is just this very simple
question - can I ask you to comment on current consensus, which is the 3% cost growth to
$35.4 billion next year?
The second question related to that is that you’ve talked about accelerating investment spend,
but there’s no change in your revenue growth targets. What is the payback on this incremental
investment, and what’s the timeframe?",hsbc,2026-interim,2026-interim-investors-analysts-transcript.pdf,coming back costs lot moving parts talking accelerating investment spend next year time slightly increased simplification saves slide got whole host divestments going drop away revenue line cost line simple question ask comment current consensus cost growth billion next year second question related talked accelerating investment spend change revenue growth targets payback incremental investment timeframe,1,neutral,0.7537801265716553,0.0,positive,0.024390243902439025,1
AMIT GOEL,MEDIOBANCA,analyst,"Just on the cost piece, just to make sure I understand it correctly
in terms of the incremental or the acceleration in spend. In terms of the accelerated spend, is
that more than the $500 million incremental simplification savings or around the same amount?
And then, how are you thinking about the payoff from that, in terms of – will that be benefiting
2028 earnings or is this more 2029 to 2030? Really just trying to understand that a little bit
better would be helpful.",hsbc,2026-interim,2026-interim-investors-analysts-transcript.pdf,cost piece make sure understand correctly terms incremental acceleration spend terms accelerated spend million incremental simplification savings around amount thinking payoff terms benefiting earnings really trying understand little bit better would helpful,1,neutral,0.8607900142669678,0.0,neutral,0.0,1
KUNPENG MA,CHINA SECURITIES,analyst,"I have two questions. The first is on the financing
demand of the corporate clients. We can see the loan demand is returning, and we can also
see many of those financing demands are in capital markets. Can we have some outlook on
the future trend of the financing demand from corporate clients? How can HSBC handle those
demands, especially for those on capital markets?
The second is on Hang Seng Bank. Georges just mentioned some cases of the synergies, like
new customer acquisition, so can we have more colour on the synergies, and what kind of
synergies can we expect in the future between the two banks?",hsbc,2026-interim,2026-interim-investors-analysts-transcript.pdf,two questions first financing demand corporate clients see loan demand returning also see many financing demands capital markets outlook future trend financing demand corporate clients hsbc handle demands especially capital markets second hang seng bank georges mentioned cases synergies like new customer acquisition colour synergies kind synergies expect future two banks,2,neutral,0.8708210587501526,0.0,neutral,0.0,0
KATHERINE LEI,JP MORGAN,analyst,"I have three questions. The first question is on ECL charges,
is on asset quality. If we look at the Hong Kong CRE, it does seem like the asset quality trend
has stabilised. Do you expect this trend to change or to further improve in the upcoming
quarters?
We see it seems like there is no notable overlay related to the Middle East situation that’s been
taken this quarter. How should we look at the situation with some escalations of the conflict
again in the third quarter? Should we be saying that the key portions of the overlay have been
taken and, going forward, it will be driven by say, Stage 3 loans?
On the second side, I just want to follow up on the cross-border one, on China’s cross-border
regulations. Are the regulators consulting industry players, including HSBC, when they are
drafting the details of the individual ODI regulations? Have you been communicating and
talking to the regulators on potential directions of where that regulation is trending to, etc?",hsbc,2026-interim,2026-interim-investors-analysts-transcript.pdf,three questions first question ecl charges asset quality look hong kong cre seem like asset quality trend stabilised expect trend change improve upcoming quarters see seems like notable overlay related middle east situation taken quarter look situation escalations conflict third quarter saying key portions overlay taken going forward driven say stage loans second side want follow one china regulations regulators consulting industry players including hsbc drafting details individual odi regulations communicating talking regulators potential directions regulation trending etc,1,neutral,0.8622404336929321,0.0,neutral,0.0,0
