bank,quarter,speaker,firm,topic,finbert_sentiment,text
barclays,2024-q2,Robin Down,HSBC,-1,neutral,"Good morning. Thanks for taking the questions. Just a couple on the businesses being disposed of. With
the German business, obviously, you've called out the kind of revenue contribution that's making, but I
don't think we've seen the cost and the impairment contribution. Is that business kind of a breakeven
business? I see most of the impairments in the Head Office relate to the German consumer finance
business. So is the gap there just kind of costs for around £30m, £40m a quarter? Is that how we should
be thinking about that?
6
And the second question, I guess, is probably more for Venkat. I think you quoted on Bloomberg this
morning saying that the sale of the merchant acquiring unit is underway. I was just wondering if you could
give us any kind of updates on that disposal. Thank you
Anna Cross
Thank you, Robin. So on German cards, you're broadly in the right ballpark. It's not a significant PBT
contributor to the bank. And therefore, on sale, the meaningful difference that you're going to see in the
P&L or balance sheet is actually the release of the RWAs. And that's really what drives that 10 basis
points of CET1 accretion that will happen either in Q424 or Q125 is our expectation. So you're in the right
ballpark. Venkat?
C.S. Venkatakrishnan
Yes Robin, what I said earlier on a media call is that we had [two disposals and one acquisition stated for
this year, in addition to the review of strategic partnership opportunities for the merchant acquiring
business]. The acquisition was Tesco, of course. The disposals were German cards and Italian
mortgages, which one has been announced, German cards, and Italian mortgages has been announced
and completed. And then the last one was merchant acquiring.
And on merchant acquiring, what I had said is, of all the things, this is the most complex one because of
the technology involved, because of the financial arrangement we would want and the kind of service we
would want. So that process is still ongoing. And what I said also on the call is that we have nothing to say
about it now. When we do, we'll tell you. But it is the most complex of that list of four."
barclays,2024-q3,Jason Napier,UBS,0,negative,"Good morning, Venkat. Good morning, Anna. Two questions on slide 16, please, which is the Barclays UK margin and
NII walk. And just first I appreciate the reiteration of guidance around hedge tailwinds into next year. I noticed that
the quarter-on-quarter tailwind there is down about a third and it looks to us like maturing swaps and incoming
swaps should have been fairly stable, down about 30 basis-points each in the period. So I just wonder how you think
about the sort of quarter-to-quarter volatility around this component of NII, I am trying to avoid a situation where we
worry unduly about nearer-term dynamics from that?
And then secondly, on that same chart, it is quite surprising to see the product margin as a net positive. Can I just
confirm, please, that includes what are the leads and lags on depository pricing? There's some feedback in the
investment community that perhaps Barclays hadn't been able to cut deposit rates as others had done as rate cuts
began. I just wonder whether you could talk about what you're seeing on deposit pass-throughs as rates start to
decline, if I could confirm that I'm looking at the right block when I look to track that going forward. Thank you."
barclays,2024-q3,Chris Cant,Autonomous,-1,neutral,"So Head Office I wanted to ask about looking into '25, '26, could you give us some colour on what the sort of
underlying group centre numbers look like after the various mortgage books have gone and the German card books
have gone. I think this is a source of significant dispersion within consensus, how people are thinking about the
underlying Head Office and it has been an area where historically consensus has got a little bit out of kilter with your
own expectations. So any colour once the transactions you've currently got in the pipeline are done, what does that
group centre income and cost run-rate look like? And I appreciate that there's still the payments business in there,
which may or may not go at some point, but what's the go-to run-rate as things stand for the transactions once the
transactions you've got in the train are done?"
barclays,2024-q3,Edward Firth,KBW,0,neutral,"I had two questions. One was just on the BUK interest rate sensitivity. It's quite striking that you're not highlighting it
at all as an impact this quarter. And I think you said it was minimal or marginal. I can't remember your exact words in
terms of your sensitivity to rates falling going forward? And I'm just trying to understand why that is, is that just like a
temporary thing and as the hedge rolls off, then you would expect some more sensitivity or is there something that
you sort of structurally changed because obviously on the way up, we saw NII grow very strongly on the back of
higher rates.
And then the other question was on the US and the margin there. I get your comments about you're still targeting
greater than 12%. I think you said there was a lot of incentive programs or loyalty programs that you were running at
the moment. And again, any help you could give us to understand from a business perspective how that works
because obviously in the US, loyalty program is a huge part of the business, it's a huge part of attracting volumes and
customers, etc. And I'm just trying to think what is it that you're expecting to change in the market more broadly or
how is your offering going to change that's going to allow you to reduce those loyalty offerings, but still maintain
momentum in the business. Thanks very much.
Anna Cross
Thanks, Ed. I will take both of those. And on the first one, we gave you some guidance on the interest rate sensitivity
in the previous quarter and that really showed for a 25 basis-point parallel shift, it was £50m in the first year. And then
what you saw was that build over time and the way I think about it, Ed, is in the first year, it's dominated by the lag
effect. So the 60-day regulatory lag that we have, particularly in the UK. And then in the outer years, you see the
impact of the hedge grinding lower in response to that parallel movement. So that's really what's going on there. If I
go back to what I said in products and for that product margin on page 16, just to clarify, we've got two offsetting
impacts in there. There is a negative movement from the delay in pricing or repricing the liabilities. But there is an
offset which is coming through from our asset margins, which are expanding. Now you might expect that in a
downward movement. Overall, we would expect that as the liability margins start to compress, you see asset
margins widening out. And of course, we've got specific actions around things like high loan-t"
barclays,2024-q3,Guy Stebbings,Exane BNP Paribas,5,neutral,"Hi, good morning. Thanks for taking the questions. I had one on capital, then one back to product margins in the UK.
On capital on slide 30, thanks a lot for clarifying the various timings and clearly some of them have been pushed out
for the US consumer business. I'm just wondering if that changes how you'll manage capital at all. In theory, it sort of
frees up some capital in the next 12 months, to perhaps distribute a little bit more early in the plan, or should we think
that you're more likely to run at the very top end of the 13% to 14% range, maybe even above it, especially if there's a
Pillar 2A temporary uptick. Just thinking about how you think about that capital ratio during 2025 now as we have to
wait for 2026 for some of those headwinds to come through."
barclays,2024-q3,Chris Hallam,Goldman Sachs,-1,neutral,"Good morning, everybody. So two from me as well. First, in the IB, if we think about the gradual rebalancing of that
business, clearly, dynamics in the quarter for DCM were very strong, strong both for you and across the street. But
given the organic reduction in RWAs you saw in the quarter in the IB and the improvement in asset productivity year-
over-year, are you starting to make those selective decisions to deemphasise DCM? And where are you comfortable
doing less? And when we think about reallocating those RWAs into the financing businesses, should we assume
£750m is a floor for Markets financing revenues assuming supportive markets? That's the first topic."
barclays,2024-q3,Alvaro Serrano,Morgan Stanley,-1,neutral,"Good morning. Maybe a couple of questions on the Investment Bank from me, please. First of all, on the fee
performance, obviously, very strong in the quarter. But similar to Q2 where you called out a large deal there, is there
any lumpy deals that we should bear in mind? Is the performance sustainable? Ultimately I'm asking about the
pipeline from here given the strong performance.
And second is on the leverage finance marks. It feels like it's a bit of an odd quarter to take those marks with credit
spreads actually very tight. So could you give us a bit of colour on what's driving that? Is it portfolio? Is it a single
ticket? Are you looking to sell something or should we expect more of this in the coming quarters? Just a bit of
colour on this.
C.S. Venkatakrishnan
Thank you. I'll take the first question and then Anna will take the next question. So on fee performance in Q3, there’s
nothing special to call out. Look, we are part of certain larger deals, but I wouldn't say that unduly there is anything I
would call out. And as I've said elsewhere, we've obviously seen activity pick up over this year compared to the
previous year. We expect it to continue to be relatively firm. Obviously, there are a couple of wildcards out there in
terms of what happens with the US elections and economic policy and rate policy in the US on M&A activity after
that. But assuming no major surprises or changes, we expect to continue to see it to be firm. Anna?
Anna Cross"
barclays,2024-q3,Jonathan Pierce,Jefferies,0,neutral,"Hello Anna. I've got two, please. The first is on rate sensitivity. Thanks for the hedge allocation data again, by the way,
helps us to be a bit more precise in the tailwinds there in Barclays UK. But the piece that I’m still struggling with a bit is
the rate sensitivity, the £50m in year-one, I hear what you're saying about a lot of that being relating to deposit lag,
but if there's £40bn of hedge maturities a year as per guidance, you'd have thought a 25 basis point shift in the curve
would be knocking £50m out of the hedge income in year one. So I'm not quite sure what's going on here. Are you
saying that there is no impact on what we might call managed margin from a 25 basis-point rate reduction at all just
simply because the structural hedge is now so large in the context of the deposit book. So it would be helpful just to
understand why that 50 is so low, it's the lowest in the sector. It's quite difficult to triangulate.
The second question, there's two bits that I would like a bit of clarity on. Barclays UK saw a £4bn increase in the early
part of the year for methodology and policy changes. At the time you said that would partially reverse over the rest of
the year. It doesn't seem like it has reversed yet. Is that coming in Q4? And then in the other direction, the OR1, I
think is pointing to about a £2.5bn risk increase in the fourth quarter. Is that about the right number to be sticking in
the spreadsheet. Thanks.
Anna Cross
Okay, Jonathan, let me take the first one. So we said £170bn over three years. So I think you're probably closer to
around £60bn of hedge maturing. And really what's going on here is, you've got that underlying maturing rate around
1.5%. So even though rates are coming down, you're still getting a pickup from the structural hedge. And it's only
really in the outer years when that grinds out that you're seeing that more meaningful difference. So I think it's
nothing more than that, but we can talk you through that outside of here if that's helpful."
barclays,2024-q3,Robin Down,HSBC,-1,neutral,"Good morning. Thanks for taking the questions. And also thank you for the added disclosure on the structural
hedges. That's very useful. Apologies, but I'm going to bring you back to the BUK interest income issue. I think it is
important because it's the main topic of conversation amongst investors this morning. If we look at your £6.5bn
guide for this year, it kind of implies a Q4 run rate ex-Tesco's kind of £6.8bn - £6.9bn. If we add in £400m for Tesco,
we're at kind of £7.2bn - £7.3bn, I think you're looking to grow next year. I think especially given the 85% of the
product hedge is in BUK, that the structural hedge benefit is more than going to outweigh any kind of rate reduction
impact. So why are you not going to end up materially above the 7.1 that consensus has pencilled in next year. Is
there something I'm missing, some big kind of negative drag that you're anticipating? Thank you.
Anna Cross
So Robin, I’m not going to comment on consensus income for 2025 at this stage. But I'm just going to reiterate the
fundamentals of what we're talking about here, which is for BUK, we expect over the plan to have NII growth of mid-
single digits. Tesco is part of that. You can see that there is NII momentum in the business organically. We've called
that out. You can see it over the last two quarters, it's coming from asset growth, it's coming from the momentum
from the structural hedge. Now as I've said before, we haven't really seen the full impact of the rate cuts yet, but we
would still expect the net of all of that into 2025 to be positive and then obviously, you're going to have Tesco on top
of that. So I'm not going to give you specific numbers now, but the view here has not changed from where we were in"
barclays,2024-q3,Perlie Mong,Bank of America,0,neutral,"Hi, Anna. Thanks for taking my questions. Can I bring you back to the hedge. Obviously, the hedge is a very large
component of the way you manage the interest rate risk. So with the scale of the hedge, does that mean that your
sensitivity to long rates would be higher than perhaps other banks or your peers? All else equal, would you expect
more sensitivity to the long rates? The reason I'm asking is because there's obviously a lot of discussion around
neutral rates in Europe and in the UK. So I'm just wondering, is the reason why your sensitivity is a bit lower in a
parallel shift scenario because maybe there's a little bit of difference between the short-end and the long-end?
That's the first part of the question.
And the second part is that it sounds like the notional is more stable than we might have expected previously. And
you previously assumed a reinvestment of 75% of the maturing hedges. The question is, does it matter whether you
reinvest or just simply let it roll off because obviously, you're reinvesting into a higher yield is a positive, but equally, if
you runoff 1.5% hedge and then just let it roll on to the variable rate, that is removing a negative and removing the
drag so it doesn't matter whether you're reinvesting or not.
Anna Cross
I will take both of those. So first is the tenure of what we're hedging is between two and seven [years]. So I wouldn't
say we're any more sensitive to the long-end of the curve than others. We really try and reflect what we think the
varying behavioural lives of the different pockets of deposits that we have. And so I wouldn't call that out as a key
difference.
And then on your second point, just to bring everybody back to this, the 75% and the £170bn was indicated to give
you some maths that you could then update as we go rather than a specific forecast from us. To the extent that the
notional is more stable. I mean, clearly, we have a choice every single quarter or every single month as it rolls. At the
moment, you're right, we're getting a pickup from that maturity as it rolls off, even if we just left it overnight. And the
difference that the structural hedge gives you is obviously it secures it. And so the structural hedge gives you
certainty, which is why we do it programmatically and why we're really focused on how much income we are locking in
to '25 and '26, which we've shown you again on page 10. So that locked-in number is now £12.4bn over the three
years. So for us, it's really about the certaint"
barclays,2024-q3,Andrew Coombs,Citi,-1,neutral,"Good morning. Two questions, one more precise. On the precise question, [this is about the]Pillar 2 offset. You
talked about the Pillar 2 modest increase followed by a part offset of the later RWA inflation. It's probably too early,
but anything you can provide in terms of quantum and does that potentially even change your 13% to 14% [CET1]
ratio target? So that's the first question.
Second question, much more broad-based, looking into the budget, thinking about both the UK business and the
Investment Bank, assuming we don't get a bank tax, is there anything else you're particularly looking at in terms of
when you're thinking about future customer activity, be that CGT and the buy-to-let market, be it employers,
national insurance contributions and the SMEs, etc? Thank you.
Anna Cross
Okay. Thank you, Andy. So really too early to say. And what we called out here is that as you can imagine, in advance
of implementing this model, and we actually have been holding some Pillar 2A already. There may be some modest
increase in that before we implement the model in full. That's all we're calling out. It's difficult to give any specific
guidance around quantum or exact timing, but you'll note that we said modest. And I'm just reiterating, we are
already holding Pillar 2A for this. And then the other point I'd make is that obviously we still await some guidance from
the PRA. And so there is some expectation that we get some guidance around Pillar 2 offsets where they're really
trying to avoid double counting between Pillar 1 in Basel and Pillar 2A that exist currently. And really, we need to see
all this put together holistically before we give you firmer guidance.
C.S. Venkatakrishnan
On the budget, listen, we are a large UK bank which operates across different sectors of the economy. So whether
it's taxation, whether it's borrowing and financing by the government, whether it is private investment and helping
with public investment, whether it's individual investment behaviour that comes out of whatever the budget says.
We would expect to see activity across everything which we do. I can't tell you where and how much and what the net
of it is, but expect us to be actively engaged across all the different dimensions of it.
With that, thank you, everybody.
Anna Cross"
barclays,2025-annual,Kian Abouhossein,JP Morgan,-1,neutral,"Two questions. The �rst question is on the capital return of over £15 billion. If you could just put
this in context of capacity to support investment and growth. How should we think about this
capacity that you're outlining? It looks like there's quite a bit of bufer. So we would like to
understand that.
And then secondly, you're one of the few CEOs who actually discusses ledgers and middle o�ce
integration, which is not a hot topic. But trying to understand a little bit the investment phase,
which has stepped up in 2026 signi�cantly and you're going from £1.1 billion to £2.3 billion of
investments. Just what the focus is and how should we think about post 2028 basically in that
respect?
C.S. Venkatakrishnan
Anna, do you want to start on the capital and then we can come back to the other one?"
barclays,2025-annual,Guy Stebbings,BNP Paribas,0,neutral,"The �rst question was on capital in terms of targets. You got the 13% to 14% target. I think you've
talked sort of running at the top end of that range throughout this plan and given this is the plan
now to 2028, post Pillar 2A changes, given the constructive tone from the regulator. I'm just
wondering what do we need to see to sort of potentially move lower down in that range as sort of
a formal way you're running from the business? Is it just getting that Pillar 2A change from the
regulator? And [I assume] you [have] got pretty good visibility as to what you're expecting there.
So, if things do land as you expect, maybe you could help sort of frame that and we can think about
what that means for capital return and RoTE targets?
And then he second question was on the mortgage book in the UK. You referred to the headwind
in the �rst half of this year. Can I just check in terms of the de�nition of that headwind? Is that sort
of a gross headwind? Because I'm mindful that with Kensington and the sort of �ow of the book,
you might be able to ofset some of that as you have some higher LTV, higher margin business
coming through. So, can you kind of frame the de�nition of that headwind? Thank you.
Anna Cross
On the �rst one, if you go back to the beginning of 2025, what we said was that because we were
carrying more Pillar 2 in advance of IRB implementation, you should expect us to operate at the
top of the range or towards the top of the range.
That's still what we're saying. It's no diferent to that. And I do expect there to be some pillar 2A
ofset when we get through Basel 3.1 and IRB. I just don't know what they are right now. What we
are trying to do in every single part of this plan is put it in our control. We want our distribution
plan to be underpinned by the things that we're doing and that it can't be put of course by the
timing of regulatory change or the certainty of that change.
That's all we're saying here. So, for us, in the short term, our planning assumption throughout this
plan, is that we will be at the top end of the range. Obviously, you should re�ect that in the way
you think about our distributions, you should re�ect that in the way that you calculate our RoTE.
But once we get beyond that implementation and we have that clarity, we will, of course, review
where we think we should be within that range. We still think that the 13% to 14% range is the
right range for Barclays. But at this point in time, we just don't have the regulatory clari"
barclays,2025-annual,Ben Toms,RBC,2,neutral,"First one is on Private Banking Wealth Management. What products are you currently missing
from your Premier Banking proposition? And how easy is it for you to build those yourself?
And then secondly, can you continue on the UK loan book? UK retail banks continue to surprise to
the upside on loan book growth relative to GDP. I think your guidance is for 5% loan growth CAGR
out 2028. What's driving the growth in excess of GDP? And what's your outlook for volumes in the
mortgage market for the next couple of years? Thank you.
C.S. Venkatakrishnan
Let me start on both. We've got a pretty big and complete product suite. There are a couple of
gaps in the product suite that are missing, SIPs and Junior ISAs that are coming online. But if you
put yourself at a higher level looking at it, starting at the self-directed end of the spectrum, what
we've got is Direct Investment, what we used to call Smart Investor, which is you're basically do-
it-yourself investment buying stocks, bonds.
"
barclays,2025-annual,Andrew Coombs,Citi,-1,neutral,"So on the Investment Bank, if I look at your 2026 targets, previously you had a greater than 12%
target. It's now circa 12%, a high-50s cost income ratio is now circa 60%. I'm assuming the change
is primarily due to FX, but perhaps you could �rstly con�rm?
Secondly, when I go back two years and think of the original plan, a lot of the revenue growth was
assumed to come from market share gains and you actually assumed a fairly �at wallet. Actually,
what's materialised is a much better wallet than you expected, but �at market share. So perhaps
you could also just talk to competitive dynamics and how that's played out versus what you
thought two years ago and how that then fed through to your 2028 assumptions as well."
